V(V): 3.08	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A):
1.200000E-2	1.000000E-2	1.917862E-10
2.260000E-1	9.800000E-3	1.846575E-10
3.230000E-1	9.600000E-3	1.729861E-10
4.260000E-1	9.400000E-3	1.613294E-10
5.210000E-1	9.200000E-3	1.506096E-10
6.150000E-1	9.000000E-3	1.386806E-10
7.110000E-1	8.800000E-3	1.252993E-10
8.050000E-1	8.599999E-3	1.099389E-10
9.000000E-1	8.400000E-3	9.590040E-11
9.950000E-1	8.200000E-3	7.875868E-11
1.095000E+0	7.999999E-3	6.456454E-11
1.191000E+0	7.800000E-3	5.265019E-11
1.294000E+0	7.600000E-3	4.006705E-11
1.391000E+0	7.400000E-3	3.053875E-11
1.487000E+0	7.200000E-3	2.397588E-11
1.588000E+0	7.000000E-3	1.954243E-11
1.687000E+0	6.800000E-3	1.563689E-11
1.784000E+0	6.600000E-3	1.240015E-11
1.893000E+0	6.400000E-3	8.794300E-12
1.991000E+0	6.200000E-3	6.219000E-12
2.087000E+0	6.000000E-3	4.793070E-12
2.207000E+0	5.800000E-3	3.420770E-12
2.311000E+0	5.600000E-3	2.843450E-12
2.406000E+0	5.400000E-3	2.343960E-12
2.515000E+0	5.200000E-3	1.792930E-12
2.615000E+0	5.000000E-3	1.440650E-12
2.711000E+0	4.800000E-3	1.093640E-12
2.807000E+0	4.600000E-3	9.359000E-13
2.901000E+0	4.400000E-3	7.308400E-13
2.996000E+0	4.200000E-3	6.109600E-13
3.091000E+0	4.000000E-3	5.310400E-13
3.185000E+0	3.800000E-3	4.364000E-13
3.282000E+0	3.600000E-3	3.501700E-13
3.378000E+0	3.400000E-3	3.291400E-13
3.473000E+0	3.200000E-3	3.081100E-13
3.567000E+0	3.000000E-3	2.849800E-13
3.663000E+0	2.800000E-3	2.429100E-13
3.757000E+0	2.600000E-3	1.945400E-13
3.853000E+0	2.400000E-3	1.735100E-13
3.948000E+0	2.200000E-3	1.482700E-13
4.042000E+0	2.000000E-3	1.461700E-13
4.137000E+0	1.800000E-3	1.314500E-13
4.231000E+0	1.600000E-3	1.146200E-13
4.325000E+0	1.400000E-3	9.780000E-14
4.420000E+0	1.200000E-3	7.676000E-14
4.525000E+0	1.000000E-3	8.938000E-14
4.620000E+0	8.000000E-4	7.046000E-14
4.728000E+0	6.000000E-4	7.676000E-14
4.824000E+0	4.000000E-4	4.311000E-14
4.919000E+0	2.000000E-4	4.206000E-14
5.014000E+0	2.910383E-11	2.629000E-14
5.110000E+0	-2.000000E-4	2.944000E-14
5.204000E+0	-4.000000E-4	1.262000E-14
5.305000E+0	-6.000000E-4	1.367000E-14
5.399000E+0	-7.999999E-4	1.683000E-14
5.493000E+0	-9.999999E-4	-7.360000E-15
5.587000E+0	-1.200000E-3	2.100000E-15
5.681000E+0	-1.400000E-3	-1.052000E-14
5.777000E+0	-1.600000E-3	-1.998000E-14
5.871000E+0	-1.800000E-3	-2.839000E-14
5.965000E+0	-2.000000E-3	-4.942000E-14
6.059000E+0	-2.200000E-3	-5.784000E-14
6.153000E+0	-2.400000E-3	-7.151000E-14
6.247000E+0	-2.600000E-3	-7.992000E-14
6.346000E+0	-2.800000E-3	-1.072600E-13
6.449000E+0	-3.000000E-3	-1.304000E-13
6.548000E+0	-3.200000E-3	-2.040100E-13
6.645000E+0	-3.400000E-3	-2.628900E-13
6.740000E+0	-3.600000E-3	-2.986500E-13
6.834000E+0	-3.800000E-3	-3.869800E-13
6.936000E+0	-4.000000E-3	-5.489200E-13
7.032000E+0	-4.200000E-3	-6.667000E-13
7.128000E+0	-4.400000E-3	-8.728100E-13
7.226000E+0	-4.600000E-3	-1.095740E-12
7.325000E+0	-4.800000E-3	-1.462740E-12
7.419000E+0	-5.000000E-3	-1.858130E-12
7.513000E+0	-5.200000E-3	-2.353420E-12
7.614000E+0	-5.400000E-3	-3.086370E-12
7.708000E+0	-5.600000E-3	-3.977050E-12
7.802000E+0	-5.800000E-3	-5.105390E-12
7.896000E+0	-6.000000E-3	-6.499770E-12
7.991000E+0	-6.200000E-3	-8.285340E-12
8.085000E+0	-6.400000E-3	-1.064825E-11
8.179000E+0	-6.600000E-3	-1.361473E-11
8.273000E+0	-6.800000E-3	-1.701552E-11
8.367000E+0	-7.000000E-3	-2.071287E-11
8.462000E+0	-7.200000E-3	-2.544180E-11
8.561000E+0	-7.400000E-3	-3.064077E-11
8.657000E+0	-7.600000E-3	-3.599538E-11
8.764000E+0	-7.800000E-3	-4.303463E-11
8.863000E+0	-7.999999E-3	-5.093089E-11
8.964000E+0	-8.200000E-3	-5.872199E-11
9.063000E+0	-8.400000E-3	-6.742798E-11
9.159000E+0	-8.599999E-3	-7.552509E-11
9.255000E+0	-8.800000E-3	-8.566332E-11
9.349000E+0	-9.000000E-3	-9.692040E-11
9.443000E+0	-9.199999E-3	-1.106729E-10
9.538000E+0	-9.400000E-3	-1.228238E-10
9.636000E+0	-9.600000E-3	-1.351462E-10
9.745000E+0	-9.800000E-3	-1.531785E-10
9.841000E+0	-1.000000E-2	-1.675987E-10
