V(V): 0.0005	Step NA->	0	0
Time(s):	Sweep V(V):	Ch1 I(A):	Ch1 I(A):
4.815000E+0	3.053000E+0	3.701500E-13	-9.885000E-14
4.906000E+0	3.054000E+0	3.554300E-13	-7.676000E-14
4.993000E+0	3.055000E+0	3.575300E-13	-4.732000E-14
5.079000E+0	3.056000E+0	3.112700E-13	-8.097000E-14
5.165000E+0	3.057000E+0	2.986500E-13	-1.325000E-13
5.251000E+0	3.058000E+0	3.365000E-13	-6.520000E-14
5.337000E+0	3.059000E+0	3.091600E-13	-8.728000E-14
5.424000E+0	3.060000E+0	2.944400E-13	-1.198800E-13
5.513000E+0	3.061000E+0	3.007500E-13	-1.072600E-13
5.600000E+0	3.062000E+0	2.818200E-13	-8.833000E-14
5.687000E+0	3.063000E+0	2.607900E-13	-1.430100E-13
5.773000E+0	3.064000E+0	3.112700E-13	-1.041100E-13
5.859000E+0	3.065000E+0	3.007500E-13	-1.114700E-13
5.945000E+0	3.066000E+0	2.544800E-13	-1.598400E-13
6.031000E+0	3.067000E+0	2.839200E-13	-1.104200E-13
6.117000E+0	3.068000E+0	2.565800E-13	-1.020000E-13
6.203000E+0	3.069000E+0	2.544800E-13	-1.114700E-13
6.289000E+0	3.070000E+0	2.376600E-13	-1.346000E-13
6.376000E+0	3.071000E+0	2.839200E-13	-8.833000E-14
6.463000E+0	3.072000E+0	2.313500E-13	-1.009500E-13
6.550000E+0	3.073000E+0	2.355500E-13	-1.282900E-13
6.636000E+0	3.074000E+0	2.692000E-13	-8.623000E-14
6.722000E+0	3.075000E+0	2.523800E-13	-1.030500E-13
6.808000E+0	3.076000E+0	2.229300E-13	-1.493200E-13
6.894000E+0	3.077000E+0	2.692000E-13	-1.146200E-13
6.982000E+0	3.078000E+0	2.355500E-13	-1.125200E-13
7.069000E+0	3.079000E+0	2.082100E-13	-1.461700E-13
7.155000E+0	3.080000E+0	2.523800E-13	-9.464000E-14
7.241000E+0	3.081000E+0	1.913900E-13	-1.325000E-13
7.329000E+0	3.082000E+0	1.787700E-13	-1.598400E-13
7.415000E+0	3.083000E+0	2.523800E-13	-1.062100E-13
7.508000E+0	3.084000E+0	1.892800E-13	-1.472200E-13
7.598000E+0	3.085000E+0	1.892800E-13	-1.850800E-13
7.684000E+0	3.086000E+0	2.313500E-13	-1.219800E-13
7.770000E+0	3.087000E+0	2.061100E-13	-1.135700E-13
7.858000E+0	3.088000E+0	2.271400E-13	-1.346000E-13
7.944000E+0	3.089000E+0	2.103100E-13	-1.787700E-13
8.030000E+0	3.090000E+0	2.208300E-13	-1.177800E-13
8.116000E+0	3.091000E+0	1.934900E-13	-1.346000E-13
8.203000E+0	3.092000E+0	2.019000E-13	-1.577400E-13
8.289000E+0	3.093000E+0	2.460700E-13	-1.177800E-13
8.379000E+0	3.094000E+0	2.082100E-13	-1.335500E-13
8.465000E+0	3.095000E+0	2.208300E-13	-1.682500E-13
8.554000E+0	3.096000E+0	2.544800E-13	-1.240900E-13
8.645000E+0	3.097000E+0	2.229300E-13	-1.261900E-13
8.731000E+0	3.098000E+0	1.871800E-13	-1.640500E-13
8.817000E+0	3.099000E+0	2.544800E-13	-1.304000E-13
8.903000E+0	3.100000E+0	2.481700E-13	-1.272400E-13
8.989000E+0	3.101000E+0	2.145200E-13	-1.325000E-13
9.075000E+0	3.102000E+0	2.650000E-13	-8.623000E-14
9.163000E+0	3.103000E+0	2.376600E-13	-9.149000E-14
9.250000E+0	3.104000E+0	2.439600E-13	-1.346000E-13
9.336000E+0	3.105000E+0	2.944400E-13	-7.992000E-14
9.422000E+0	3.106000E+0	2.607900E-13	-9.780000E-14
9.508000E+0	3.107000E+0	2.607900E-13	-1.230300E-13
9.597000E+0	3.108000E+0	2.418600E-13	-1.619400E-13
9.685000E+0	3.109000E+0	2.881300E-13	-7.782000E-14
9.772000E+0	3.110000E+0	2.292400E-13	-1.072600E-13
9.859000E+0	3.111000E+0	2.292400E-13	-1.177800E-13
9.945000E+0	3.112000E+0	2.923400E-13	-8.833000E-14
1.003100E+1	3.113000E+0	2.481700E-13	-7.256000E-14
1.011700E+1	3.114000E+0	2.565800E-13	-1.051600E-13
1.020300E+1	3.115000E+0	2.965400E-13	-4.311000E-14
1.028900E+1	3.116000E+0	2.797200E-13	-4.942000E-14
1.038200E+1	3.117000E+0	2.586900E-13	-5.784000E-14
1.046900E+1	3.118000E+0	2.902300E-13	5.260000E-15
1.055600E+1	3.119000E+0	3.133700E-13	4.942000E-14
1.064800E+1	3.120000E+0	3.491200E-13	1.104200E-13
1.073400E+1	3.121000E+0	4.437600E-13	2.976000E-13
1.082000E+1	3.122000E+0	4.374500E-13	5.415600E-13
1.090600E+1	3.123000E+0	5.741600E-13	8.454600E-13
1.099200E+1	3.124000E+0	7.592400E-13	1.175660E-12
1.108300E+1	3.125000E+0	1.067350E-12	1.531090E-12
1.117000E+1	3.126000E+0	1.235600E-12	1.629940E-12
1.125600E+1	3.127000E+0	1.548970E-12	1.772950E-12
1.134400E+1	3.128000E+0	1.804500E-12	1.605750E-12
1.143100E+1	3.129000E+0	1.924380E-12	1.596290E-12
1.152400E+1	3.130000E+0	2.008500E-12	1.647810E-12
1.161100E+1	3.131000E+0	2.061080E-12	1.761380E-12
1.169800E+1	3.132000E+0	1.854970E-12	1.829740E-12
1.178400E+1	3.133000E+0	1.873900E-12	2.022170E-12
1.187000E+1	3.134000E+0	1.863390E-12	2.173600E-12
1.195600E+1	3.135000E+0	1.930690E-12	2.251420E-12
1.204200E+1	3.136000E+0	2.000090E-12	2.649960E-12
1.212900E+1	3.137000E+0	2.357630E-12	3.186270E-12
1.221600E+1	3.138000E+0	2.642600E-12	4.127420E-12
1.230300E+1	3.139000E+0	3.126330E-12	5.217900E-12
1.239000E+1	3.140000E+0	4.029630E-12	6.822610E-12
1.247700E+1	3.141000E+0	5.235780E-12	8.658650E-12
1.256400E+1	3.142000E+0	6.752150E-12	1.041898E-11
1.265100E+1	3.143000E+0	8.476730E-12	1.244326E-11
1.273700E+1	3.144000E+0	1.001623E-11	1.454851E-11
1.282300E+1	3.145000E+0	1.181232E-11	1.611746E-11
1.290900E+1	3.146000E+0	1.359158E-11	1.729627E-11
1.299600E+1	3.147000E+0	1.632041E-11	1.977693E-11
1.308400E+1	3.148000E+0	1.872746E-11	2.224394E-11
1.318100E+1	3.149000E+0	2.187905E-11	2.485184E-11
1.326800E+1	3.150000E+0	2.407789E-11	2.730832E-11
1.336600E+1	3.151000E+0	2.577512E-11	2.838723E-11
1.345800E+1	3.152000E+0	2.759434E-11	2.899504E-11
1.354600E+1	3.153000E+0	2.970801E-11	3.057661E-11
1.363400E+1	3.154000E+0	3.118231E-11	3.269973E-11
1.372100E+1	3.155000E+0	3.214029E-11	3.304991E-11
1.380700E+1	3.156000E+0	3.312982E-11	3.392271E-11
1.389400E+1	3.157000E+0	3.421400E-11	3.406572E-11
1.398100E+1	3.158000E+0	3.626351E-11	3.448951E-11
1.406800E+1	3.159000E+0	3.613627E-11	3.271445E-11
1.415400E+1	3.160000E+0	3.497428E-11	3.165867E-11
1.424000E+1	3.161000E+0	3.446953E-11	3.147149E-11
1.433600E+1	3.162000E+0	3.304780E-11	3.081847E-11
1.442300E+1	3.163000E+0	3.246839E-11	3.145467E-11
1.451100E+1	3.164000E+0	3.262402E-11	3.192998E-11
1.460200E+1	3.165000E+0	3.265557E-11	3.206563E-11
1.468900E+1	3.166000E+0	3.257354E-11	3.211821E-11
1.477700E+1	3.167000E+0	3.247259E-11	3.193839E-11
1.486400E+1	3.168000E+0	3.236533E-11	3.172492E-11
1.495100E+1	3.169000E+0	3.223283E-11	3.145046E-11
1.503800E+1	3.170000E+0	3.235271E-11	3.065022E-11
1.512700E+1	3.171000E+0	3.203303E-11	2.812539E-11
1.521300E+1	3.172000E+0	3.086369E-11	2.499486E-11
1.529900E+1	3.173000E+0	2.885518E-11	2.129963E-11
1.538500E+1	3.174000E+0	2.556060E-11	1.624996E-11
1.547100E+1	3.175000E+0	2.115662E-11	1.276504E-11
1.555900E+1	3.176000E+0	1.646132E-11	9.931051E-12
1.564700E+1	3.177000E+0	1.322879E-11	7.894160E-12
1.573400E+1	3.178000E+0	1.063771E-11	6.357810E-12
1.582900E+1	3.179000E+0	8.283240E-12	5.041240E-12
1.591500E+1	3.180000E+0	6.634370E-12	4.312500E-12
1.600200E+1	3.181000E+0	5.438740E-12	3.589020E-12
1.609000E+1	3.182000E+0	4.560670E-12	3.165230E-12
1.618500E+1	3.183000E+0	3.895030E-12	3.007500E-12
1.627100E+1	3.184000E+0	3.376600E-12	3.045360E-12
1.635700E+1	3.185000E+0	3.455470E-12	2.999090E-12
1.644300E+1	3.186000E+0	3.298780E-12	2.712010E-12
1.652900E+1	3.187000E+0	3.157870E-12	2.891830E-12
1.661500E+1	3.188000E+0	3.059030E-12	3.154720E-12
1.670100E+1	3.189000E+0	3.225170E-12	2.845560E-12
1.678700E+1	3.190000E+0	3.616360E-12	2.584770E-12
1.687400E+1	3.191000E+0	3.680510E-12	2.444910E-12
1.696800E+1	3.192000E+0	3.475450E-12	1.984320E-12
1.705600E+1	3.193000E+0	3.105290E-12	1.501650E-12
1.714200E+1	3.194000E+0	2.741450E-12	1.133600E-12
1.722800E+1	3.195000E+0	2.094730E-12	9.485200E-13
1.731400E+1	3.196000E+0	1.744560E-12	6.593400E-13
1.740400E+1	3.197000E+0	1.457480E-12	4.931900E-13
1.749000E+1	3.198000E+0	1.111510E-12	4.574300E-13
1.757600E+1	3.199000E+0	8.591401E-13	3.039000E-13
1.766200E+1	3.200000E+0	6.961400E-13	1.430100E-13
1.774900E+1	3.201000E+0	5.930900E-13	9.149000E-14
1.783800E+1	3.202000E+0	4.626900E-13	-1.157000E-14
1.793100E+1	3.203000E+0	3.701500E-13	-6.940000E-14
1.801700E+1	3.204000E+0	3.848800E-13	-4.942000E-14
1.810300E+1	3.205000E+0	3.133700E-13	-5.258000E-14
1.818900E+1	3.206000E+0	2.965400E-13	-1.072600E-13
1.827500E+1	3.207000E+0	2.965400E-13	-7.361000E-14
1.836300E+1	3.208000E+0	2.734100E-13	-6.415000E-14
1.845100E+1	3.209000E+0	2.671000E-13	-9.885000E-14
1.854200E+1	3.210000E+0	3.112700E-13	-4.942000E-14
1.862900E+1	3.211000E+0	2.881300E-13	-4.206000E-14
1.871500E+1	3.212000E+0	2.692000E-13	-6.520000E-14
1.880200E+1	3.213000E+0	3.449200E-13	-1.683000E-14
1.889200E+1	3.214000E+0	3.428100E-13	-1.472000E-14
1.898000E+1	3.215000E+0	3.154700E-13	-2.839000E-14
1.906700E+1	3.216000E+0	3.911900E-13	2.839000E-14
1.915300E+1	3.217000E+0	3.617400E-13	7.046000E-14
1.923900E+1	3.218000E+0	3.869800E-13	9.149000E-14
1.932500E+1	3.219000E+0	3.827700E-13	1.146200E-13
1.941100E+1	3.220000E+0	4.732100E-13	1.819200E-13
1.949700E+1	3.221000E+0	5.173700E-13	2.176800E-13
1.958300E+1	3.222000E+0	5.342000E-13	3.018000E-13
1.968200E+1	3.223000E+0	5.699500E-13	4.385100E-13
1.976900E+1	3.224000E+0	6.099100E-13	4.826700E-13
1.985500E+1	3.225000E+0	6.477700E-13	4.637400E-13
1.994100E+1	3.226000E+0	7.392601E-13	7.245300E-13
2.002800E+1	3.227000E+0	7.739600E-13	7.960400E-13
2.011400E+1	3.228000E+0	7.844700E-13	8.843701E-13
2.020000E+1	3.229000E+0	9.937400E-13	1.102050E-12
2.028600E+1	3.230000E+0	1.044210E-12	1.167250E-12
2.037200E+1	3.231000E+0	1.145160E-12	1.274510E-12
2.045900E+1	3.232000E+0	1.380720E-12	1.394390E-12
2.054600E+1	3.233000E+0	1.708810E-12	1.782420E-12
2.063200E+1	3.234000E+0	1.955930E-12	2.253520E-12
2.071900E+1	3.235000E+0	2.382860E-12	2.929680E-12
2.081200E+1	3.236000E+0	2.911810E-12	3.505940E-12
2.089900E+1	3.237000E+0	3.529080E-12	3.898180E-12
2.099100E+1	3.238000E+0	4.099030E-12	4.534380E-12
2.108000E+1	3.239000E+0	4.111650E-12	5.673240E-12
2.116700E+1	3.240000E+0	4.409250E-12	6.961410E-12
2.125300E+1	3.241000E+0	5.263120E-12	8.267470E-12
2.135900E+1	3.242000E+0	6.252650E-12	8.807970E-12
2.145100E+1	3.243000E+0	6.575490E-12	1.015609E-11
2.153800E+1	3.244000E+0	7.651240E-12	1.082594E-11
2.162400E+1	3.245000E+0	9.081381E-12	1.379243E-11
2.171700E+1	3.246000E+0	9.806969E-12	1.509848E-11
2.180400E+1	3.247000E+0	1.149685E-11	1.545392E-11
2.191600E+1	3.248000E+0	1.313204E-11	1.577149E-11
2.200300E+1	3.249000E+0	1.511110E-11	1.549808E-11
2.208900E+1	3.250000E+0	1.555171E-11	1.601125E-11
2.217600E+1	3.251000E+0	1.579988E-11	1.686302E-11
2.227200E+1	3.252000E+0	1.610799E-11	1.836993E-11
2.235800E+1	3.253000E+0	1.684935E-11	1.992415E-11
2.244500E+1	3.254000E+0	1.908920E-11	2.326502E-11
2.254100E+1	3.255000E+0	2.269822E-11	2.744923E-11
2.262900E+1	3.256000E+0	2.523356E-11	2.795714E-11
2.271600E+1	3.257000E+0	2.865959E-11	3.250098E-11
2.280300E+1	3.258000E+0	3.237164E-11	3.299627E-11
2.288900E+1	3.259000E+0	3.427288E-11	3.257039E-11
2.297800E+1	3.260000E+0	3.445165E-11	2.990886E-11
2.306500E+1	3.261000E+0	3.206248E-11	2.531979E-11
2.315100E+1	3.262000E+0	2.829154E-11	2.122812E-11
2.323700E+1	3.263000E+0	2.547122E-11	1.671055E-11
2.332800E+1	3.264000E+0	2.076541E-11	1.212674E-11
2.341600E+1	3.265000E+0	1.499753E-11	8.765910E-12
2.350200E+1	3.266000E+0	1.129389E-11	5.906690E-12
2.358800E+1	3.267000E+0	8.144430E-12	4.211550E-12
2.367400E+1	3.268000E+0	5.865670E-12	3.068490E-12
2.376000E+1	3.269000E+0	4.233630E-12	2.325030E-12
2.384600E+1	3.270000E+0	3.120020E-12	1.598390E-12
2.393200E+1	3.271000E+0	2.315560E-12	1.156730E-12
2.401800E+1	3.272000E+0	1.827630E-12	7.403100E-13
2.410400E+1	3.273000E+0	1.426980E-12	5.226300E-13
2.419000E+1	3.274000E+0	1.134650E-12	3.733100E-13
2.427600E+1	3.275000E+0	9.527300E-13	2.660500E-13
2.436700E+1	3.276000E+0	7.581800E-13	1.577400E-13
2.446500E+1	3.277000E+0	6.498700E-13	1.314500E-13
2.455800E+1	3.278000E+0	5.173700E-13	5.153000E-14
2.464600E+1	3.279000E+0	4.605900E-13	-1.262000E-14
2.473300E+1	3.280000E+0	4.521800E-13	-1.367000E-14
2.482200E+1	3.281000E+0	3.764600E-13	-4.837000E-14
2.492200E+1	3.282000E+0	2.986500E-13	-8.413000E-14
2.501800E+1	3.283000E+0	3.154700E-13	-5.994000E-14
2.511100E+1	3.284000E+0	2.586900E-13	-1.135700E-13
2.519700E+1	3.285000E+0	2.481700E-13	-1.409100E-13
2.528300E+1	3.286000E+0	2.839200E-13	-9.780000E-14
2.538300E+1	3.287000E+0	1.808700E-13	-1.367000E-13
2.547000E+1	3.288000E+0	1.871800E-13	-1.829700E-13
2.555800E+1	3.289000E+0	2.187300E-13	-1.430100E-13
2.564500E+1	3.290000E+0	2.208300E-13	-1.135700E-13
2.573200E+1	3.291000E+0	1.955900E-13	-1.304000E-13
2.582300E+1	3.292000E+0	1.850800E-13	-1.840300E-13
2.590900E+1	3.293000E+0	2.334500E-13	-1.261900E-13
2.599600E+1	3.294000E+0	1.977000E-13	-1.451200E-13
2.608300E+1	3.295000E+0	1.998000E-13	-1.766600E-13
2.617000E+1	3.296000E+0	2.460700E-13	-1.430100E-13
