V(V): 0.001	Step NA->	0
Time(s):	Sweep V(V):	Ch1 I(A):
4.000000E-3	0.000000E+0	-4.627000E-14
2.070000E-1	2.000000E-3	2.324000E-13
2.940000E-1	4.000000E-3	2.450200E-13
3.810000E-1	6.000000E-3	2.976000E-13
4.680000E-1	8.000000E-3	3.459700E-13
5.540000E-1	1.000000E-2	3.333500E-13
6.510000E-1	1.200000E-2	2.839200E-13
7.380000E-1	1.400000E-2	3.018000E-13
8.250000E-1	1.600000E-2	3.691000E-13
9.120000E-1	1.800000E-2	3.817200E-13
9.990000E-1	2.000000E-2	3.186300E-13
1.086000E+0	2.200000E-2	3.564800E-13
1.183000E+0	2.400000E-2	3.039000E-13
1.271000E+0	2.600000E-2	3.039000E-13
1.358000E+0	2.800000E-2	3.333500E-13
1.447000E+0	3.000000E-2	2.891800E-13
1.536000E+0	3.200000E-2	3.438600E-13
1.626000E+0	3.400000E-2	3.691000E-13
1.713000E+0	3.600000E-2	3.333500E-13
1.799000E+0	3.800000E-2	3.522800E-13
1.885000E+0	4.000000E-2	3.649000E-13
1.971000E+0	4.200000E-2	3.144200E-13
2.057000E+0	4.400000E-2	3.270400E-13
2.143000E+0	4.600000E-2	3.354500E-13
2.239000E+0	4.800000E-2	2.828700E-13
2.326000E+0	5.000000E-2	3.354500E-13
2.413000E+0	5.200000E-2	3.144200E-13
2.505000E+0	5.400000E-2	2.912900E-13
2.600000E+0	5.600000E-2	3.123200E-13
2.693000E+0	5.800000E-2	2.765600E-13
2.779000E+0	6.000000E-2	3.585900E-13
2.866000E+0	6.200000E-2	3.186300E-13
2.952000E+0	6.400000E-2	3.081100E-13
3.038000E+0	6.600000E-2	3.564800E-13
3.126000E+0	6.800000E-2	3.270400E-13
3.214000E+0	7.000000E-2	3.670000E-13
3.304000E+0	7.200000E-2	3.459700E-13
3.390000E+0	7.400000E-2	3.207300E-13
3.475000E+0	7.600001E-2	3.606900E-13
3.561000E+0	7.800000E-2	3.354500E-13
3.647000E+0	8.000001E-2	3.270400E-13
3.733000E+0	8.200000E-2	3.627900E-13
3.819000E+0	8.400001E-2	3.081100E-13
3.905000E+0	8.600000E-2	3.207300E-13
3.991000E+0	8.800001E-2	3.733100E-13
4.077000E+0	9.000000E-2	3.522800E-13
4.163000E+0	9.200001E-2	3.585900E-13
4.259000E+0	9.400000E-2	3.354500E-13
